"covariateId","columnId","covariateName","analysisId","conceptId","included","covariateValue"
3,1,"age group:   0 -   4",3,0,1,0
1901,2,"Charlson index - Romano adaptation",901,0,1,7.34000577126471e-05
2003,3,"age group:  10 -  14",3,0,1,0.00561854920307169
3003,4,"age group:  15 -  19",3,0,1,0.0135213792694909
4003,5,"age group:  20 -  24",3,0,1,0.000250470481260824
5003,6,"age group:  25 -  29",3,0,1,0.0028029564681125
6003,7,"age group:  30 -  34",3,0,1,0.00169047006894104
7003,8,"age group:  35 -  39",3,0,1,0.000529116947441364
8003,9,"age group:  40 -  44",3,0,1,0.000978221140458663
9003,10,"age group:  45 -  49",3,0,1,8.88775349023981e-05
10003,11,"age group:  50 -  54",3,0,1,2.59319012278234e-05
11003,12,"age group:  55 -  59",3,0,1,0
12003,13,"age group:  60 -  64",3,0,1,2.48980830546376e-06
13003,14,"age group:  65 -  69",3,0,1,0
14003,15,"age group:  70 -  74",3,0,1,0
15003,16,"age group:  75 -  79",3,0,1,0
16003,17,"age group:  80 -  84",3,0,1,0
17003,18,"age group:  85 -  89",3,0,1,0
18003,19,"age group:  90 -  94",3,0,1,0
19003,20,"age group:  95 -  99",3,0,1,0
8532001,21,"gender = FEMALE",1,8532,1,0.000938485271411363
23325102,22,"condition_occurrence during day -365 through 0 days relative to index: Heartburn",102,23325,1,0
23325104,23,"condition_occurrence during day -30 through 0 days relative to index: Heartburn",104,23325,1,0
23325210,24,"condition_era group during day -365 through 0 days relative to index: Heartburn",210,23325,1,6.43415434224849e-19
23325212,25,"condition_era group during day -30 through 0 days relative to index: Heartburn",212,23325,1,4.35853075556013e-16
23798102,26,"condition_occurrence during day -365 through 0 days relative to index: Acute laryngopharyngitis",102,23798,1,0
23798104,27,"condition_occurrence during day -30 through 0 days relative to index: Acute laryngopharyngitis",104,23798,1,0
23798210,28,"condition_era group during day -365 through 0 days relative to index: Acute laryngopharyngitis",210,23798,1,0
23798212,29,"condition_era group during day -30 through 0 days relative to index: Acute laryngopharyngitis",212,23798,1,0
24134102,30,"condition_occurrence during day -365 through 0 days relative to index: Neck pain",102,24134,1,0
24134104,31,"condition_occurrence during day -30 through 0 days relative to index: Neck pain",104,24134,1,0
24134210,32,"condition_era group during day -365 through 0 days relative to index: Neck pain",210,24134,1,0
24134212,33,"condition_era group during day -30 through 0 days relative to index: Neck pain",212,24134,1,0
24660102,34,"condition_occurrence during day -365 through 0 days relative to index: Acute tonsillitis",102,24660,1,0
24660210,35,"condition_era group during day -365 through 0 days relative to index: Acute tonsillitis",210,24660,1,0
24660212,36,"condition_era group during day -30 through 0 days relative to index: Acute tonsillitis",212,24660,1,0
24969210,37,"condition_era group during day -365 through 0 days relative to index: Laryngitis",210,24969,1,0
24969212,38,"condition_era group during day -30 through 0 days relative to index: Laryngitis",212,24969,1,0
25297102,39,"condition_occurrence during day -365 through 0 days relative to index: Acute pharyngitis",102,25297,1,0
25297104,40,"condition_occurrence during day -30 through 0 days relative to index: Acute pharyngitis",104,25297,1,0
25297210,41,"condition_era group during day -365 through 0 days relative to index: Acute pharyngitis",210,25297,1,0
25297212,42,"condition_era group during day -30 through 0 days relative to index: Acute pharyngitis",212,25297,1,0
27674102,43,"condition_occurrence during day -365 through 0 days relative to index: Nausea and vomiting",102,27674,1,5.36915675007134e-07
27674104,44,"condition_occurrence during day -30 through 0 days relative to index: Nausea and vomiting",104,27674,1,0
27674210,45,"condition_era group during day -365 through 0 days relative to index: Nausea and vomiting",210,27674,1,0
27674212,46,"condition_era group during day -30 through 0 days relative to index: Nausea and vomiting",212,27674,1,0
30133102,47,"condition_occurrence during day -365 through 0 days relative to index: Acute laryngitis",102,30133,1,0
30133104,48,"condition_occurrence during day -30 through 0 days relative to index: Acute laryngitis",104,30133,1,0
30133210,49,"condition_era group during day -365 through 0 days relative to index: Acute laryngitis",210,30133,1,0
30133212,50,"condition_era group during day -30 through 0 days relative to index: Acute laryngitis",212,30133,1,0
30437102,51,"condition_occurrence during day -365 through 0 days relative to index: Gastro-esophageal reflux disease with esophagitis",102,30437,1,0.000236600695280545
30437104,52,"condition_occurrence during day -30 through 0 days relative to index: Gastro-esophageal reflux disease with esophagitis",104,30437,1,0.000143188372801257
30437210,53,"condition_era group during day -365 through 0 days relative to index: Gastro-esophageal reflux disease with esophagitis",210,30437,1,1.16494462554532e-05
30437212,54,"condition_era group during day -30 through 0 days relative to index: Gastro-esophageal reflux disease with esophagitis",212,30437,1,3.5341553716313e-06
30753102,55,"condition_occurrence during day -365 through 0 days relative to index: Esophagitis",102,30753,1,0
30753104,56,"condition_occurrence during day -30 through 0 days relative to index: Esophagitis",104,30753,1,0
30753210,57,"condition_era group during day -365 through 0 days relative to index: Esophagitis",210,30753,1,0
30753212,58,"condition_era group during day -30 through 0 days relative to index: Esophagitis",212,30753,1,0
31317102,59,"condition_occurrence during day -365 through 0 days relative to index: Dysphagia",102,31317,1,0
31317104,60,"condition_occurrence during day -30 through 0 days relative to index: Dysphagia",104,31317,1,0
31317210,61,"condition_era group during day -365 through 0 days relative to index: Dysphagia",210,31317,1,0
31317212,62,"condition_era group during day -30 through 0 days relative to index: Dysphagia",212,31317,1,0
31967102,63,"condition_occurrence during day -365 through 0 days relative to index: Nausea",102,31967,1,0.000227164960720792
